cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s15-b275-a1.00,0.7,106.68899999999607,0.09883418982609148,1.2982499999999983,0.765,6.0,3.0,6.0,17.0,0.9415443203208183,63.0,32435,RL
RL-s9-b50-a1.00,0.7,111.32549999999577,0.07106281985623347,1.3542499999999984,0.82,4.0,1.0,4.0,17.0,0.9538002797569837,16.0,33784,RL
RL-s17-b300-a1.00,0.6975,113.22424999999569,0.03891238676669476,0.5677499999999998,0.715,4.0,2.0,4.0,17.0,0.9591758481958845,16.0,33996,RL
RL-s14-b300-a1.00,0.6975,108.24349999999596,0.13855733611171095,1.2434999999999985,0.755,11.0,5.0,11.0,17.0,0.8996333329175231,966.0,31033,RL
RL-s12-b200-a1.00,0.6925,108.28124999999594,0.05307387412652578,1.6122499999999977,0.745,9.0,4.0,9.0,17.0,0.910542856052375,322.0,33200,RL
RL-s13-b75-a1.00,0.6925,113.37049999999566,0.06279802084613234,1.174249999999999,0.805,7.0,3.0,7.0,17.0,0.9254702109348701,123.0,34449,RL
RL-s10-b175-a1.00,0.69,113.81799999999564,0.03947969448758322,0.6305000000000001,0.725,7.0,3.0,7.0,17.0,0.9299269741240965,127.0,34221,RL
RL-s13-b175-a1.00,0.69,115.13724999999557,0.038307491494666446,0.51925,0.685,6.0,3.0,6.0,17.0,0.9253394551927312,63.0,34553,RL
RL-s18-b225-a1.00,0.6875,115.56899999999555,0.041960476083998846,0.38349999999999984,0.695,9.0,2.0,9.0,17.0,0.9171434846516379,271.0,34942,RL
RL-s9-b225-a1.00,0.6875,113.28574999999566,0.040130398186127444,0.6477499999999997,0.72,4.0,1.0,4.0,17.0,0.958548441107121,16.0,34394,RL
RL-s19-b25-a1.00,0.6875,100.0152499999964,0.12938722764250413,1.8062499999999977,0.89,8.0,3.0,8.0,17.0,0.9258412477443603,209.0,29432,RL
RL-s15-b225-a1.00,0.6875,111.93024999999575,0.04236609467134771,0.7004999999999995,0.73,4.0,2.0,4.0,17.0,0.9525174749644832,16.0,33684,RL
RL-s19-b175-a1.00,0.6825000000000001,115.35124999999555,0.04140493068051883,0.44874999999999987,0.685,5.0,2.0,5.0,17.0,0.947387922418755,32.0,34158,RL
RL-s17-b275-a1.00,0.6825,115.28524999999556,0.05975338282762357,1.1074999999999988,0.755,6.0,3.0,6.0,17.0,0.9379856266878887,64.0,34831,RL
RL-s13-b300-a1.00,0.68,112.85099999999568,0.04485084454075419,0.5582499999999999,0.68,9.0,5.0,9.0,17.0,0.8972071485302056,358.0,34332,RL
RL-s15-b75-a1.00,0.6799999999999999,112.46499999999571,0.062185313568656725,1.0529999999999988,0.78,5.0,1.0,5.0,17.0,0.9433313345414049,32.0,34721,RL
RL-s15-b50-a1.00,0.6799999999999999,104.72599999999616,0.07598908057980294,1.3094999999999986,0.775,4.0,2.0,4.0,17.0,0.9570168170184139,16.0,32534,RL
RL-s13-b100-a1.00,0.6775,115.18474999999557,0.041219053619575674,0.8574999999999992,0.715,5.0,2.0,5.0,17.0,0.9424600415713003,32.0,34756,RL
RL-s8-b275-a1.00,0.6775,116.89824999999547,0.03786950125661452,0.47399999999999975,0.67,7.0,4.0,7.0,17.0,0.9241648089910588,116.0,35769,RL
RL-s12-b275-a1.00,0.6775,112.80699999999572,0.042251346585700886,1.093499999999999,0.715,9.0,4.0,9.0,17.0,0.9153226051439791,338.0,34375,RL
RL-s8-b50-a1.00,0.675,103.7269999999962,0.08674552058890254,1.4047499999999982,0.795,6.0,3.0,6.0,17.0,0.9216880000156907,58.0,32683,RL
RL-s13-b150-a1.00,0.675,113.86174999999562,0.04543090775297974,0.41449999999999987,0.68,7.0,4.0,7.0,17.0,0.9119464804837814,112.0,34602,RL
RL-s18-b125-a1.00,0.6725,108.9489999999959,0.07189985519885003,1.1594999999999986,0.73,17.0,3.0,17.0,17.0,0.9174246788290357,2470.0,32677,RL
RL-s16-b200-a1.00,0.67,115.41999999999555,0.03650686904845715,0.417,0.665,6.0,3.0,6.0,17.0,0.9342487732170061,61.0,35090,RL
RL-s16-b175-a1.00,0.67,117.27699999999547,0.030079723962393154,0.4932499999999999,0.67,7.0,4.0,7.0,17.0,0.9096097215190106,116.0,35608,RL
RL-s14-b125-a1.00,0.6699999999999999,108.17674999999596,0.08220301017672318,1.1819999999999986,0.725,10.0,4.0,10.0,17.0,0.9058537093896741,601.0,31874,RL
RL-s17-b250-a1.00,0.6675,115.21774999999553,0.043331507822311405,0.36274999999999996,0.66,5.0,3.0,5.0,17.0,0.9482505921266068,32.0,34906,RL
RL-s8-b125-a1.00,0.665,114.59299999999561,0.03502995945752214,0.4334999999999999,0.665,4.0,2.0,4.0,17.0,0.9615156917897703,16.0,34711,RL
RL-s18-b175-a1.00,0.665,114.88974999999559,0.050587690573924815,0.4544999999999999,0.655,7.0,2.0,7.0,17.0,0.928437734774554,114.0,34117,RL
RL-s10-b75-a1.00,0.6625000000000001,112.69424999999569,0.04575826441449862,0.7727499999999994,0.685,8.0,4.0,8.0,17.0,0.9100753775284206,211.0,32897,RL
RL-s16-b275-a1.00,0.66,113.87399999999562,0.042940210039795576,0.6217499999999996,0.68,7.0,4.0,7.0,17.0,0.9027647864470754,115.0,34287,RL
RL-s12-b100-a1.00,0.6575,109.72374999999585,0.05043392262207229,0.7967499999999993,0.68,4.0,1.0,4.0,17.0,0.95695954003598,16.0,33407,RL
