cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
RL-s17-b225-a1.00,5.0,3.0,5.0,17.0,0.9341990973405332,31.0,33351
RL-s17-b25-a1.00,6.0,3.0,6.0,17.0,0.9302469437434283,64.0,33033
RL-s17-b250-a1.00,5.0,3.0,5.0,17.0,0.9482505921266068,32.0,34906
RL-s17-b275-a1.00,6.0,3.0,6.0,17.0,0.9379856266878887,64.0,34831
RL-s17-b300-a1.00,4.0,2.0,4.0,17.0,0.9591758481958845,16.0,33996
RL-s17-b50-a1.00,7.0,4.0,7.0,17.0,0.9206105127951801,119.0,33027
RL-s17-b75-a1.00,17.0,7.0,17.0,17.0,0.8494832696509241,3828.0,27125
RL-s18-b100-a1.00,16.0,4.0,16.0,17.0,0.9033785744172275,2977.0,34526
RL-s18-b125-a1.00,17.0,3.0,17.0,17.0,0.9174246788290357,2470.0,32677
RL-s18-b150-a1.00,8.0,3.0,8.0,17.0,0.9276220465316916,196.0,34492
RL-s18-b175-a1.00,7.0,2.0,7.0,17.0,0.928437734774554,114.0,34117
RL-s18-b200-a1.00,6.0,1.0,6.0,17.0,0.9404969833091287,62.0,34901
RL-s18-b225-a1.00,9.0,2.0,9.0,17.0,0.9171434846516379,271.0,34942
RL-s18-b25-a1.00,7.0,3.0,7.0,17.0,0.9171969088044607,124.0,32404
RL-s18-b250-a1.00,11.0,3.0,11.0,17.0,0.9280020636921427,631.0,33376
RL-s18-b275-a1.00,7.0,4.0,7.0,17.0,0.9220650523521787,116.0,34274
RL-s18-b300-a1.00,9.0,3.0,9.0,17.0,0.932946122094987,358.0,34247
RL-s18-b50-a1.00,17.0,11.0,17.0,17.0,0.7733994622610361,4198.0,28908
RL-s18-b75-a1.00,8.0,2.0,8.0,17.0,0.9341686865427687,197.0,35219
RL-s19-b100-a1.00,17.0,7.0,17.0,17.0,0.8611366982182914,4425.0,31493
RL-s19-b125-a1.00,4.0,1.0,4.0,17.0,0.9569572188123834,16.0,34388
RL-s19-b150-a1.00,5.0,2.0,5.0,17.0,0.9460288215313193,32.0,35756
RL-s19-b175-a1.00,5.0,2.0,5.0,17.0,0.947387922418755,32.0,34158
RL-s19-b200-a1.00,4.0,2.0,4.0,17.0,0.9620612428693085,16.0,35266
RL-s19-b225-a1.00,5.0,2.0,5.0,17.0,0.949389695662553,32.0,34225
RL-s19-b25-a1.00,8.0,3.0,8.0,17.0,0.9258412477443603,209.0,29432
RL-s19-b250-a1.00,5.0,2.0,5.0,17.0,0.9416453249337106,32.0,34623
RL-s19-b275-a1.00,5.0,2.0,5.0,17.0,0.947901932788322,32.0,34716
RL-s19-b300-a1.00,5.0,2.0,5.0,17.0,0.9383493736815551,32.0,35146
RL-s19-b50-a1.00,3.0,2.0,3.0,17.0,0.970876604106952,8.0,31320
RL-s19-b75-a1.00,4.0,2.0,4.0,17.0,0.96153325142071,16.0,31359
RL-s8-b100-a1.00,3.0,2.0,3.0,17.0,0.9633995657977794,8.0,34637
RL-s8-b125-a1.00,4.0,2.0,4.0,17.0,0.9615156917897703,16.0,34711
RL-s8-b150-a1.00,5.0,3.0,5.0,17.0,0.9418701149777039,32.0,31680
RL-s8-b175-a1.00,4.0,2.0,4.0,17.0,0.951268210199671,16.0,34262
RL-s8-b200-a1.00,9.0,3.0,9.0,17.0,0.922667654618445,362.0,33455
RL-s8-b225-a1.00,7.0,4.0,7.0,17.0,0.9256251409192178,109.0,35253
RL-s8-b25-a1.00,2.0,1.0,2.0,8.0,0.976319435374429,4.0,33886
RL-s8-b250-a1.00,8.0,4.0,8.0,17.0,0.9053106631868783,189.0,36060
RL-s8-b275-a1.00,7.0,4.0,7.0,17.0,0.9241648089910588,116.0,35769
RL-s8-b300-a1.00,7.0,4.0,7.0,17.0,0.9101923367475905,109.0,34562
RL-s8-b50-a1.00,6.0,3.0,6.0,17.0,0.9216880000156907,58.0,32683
RL-s8-b75-a1.00,4.0,2.0,4.0,17.0,0.9516772455578955,15.0,35122
RL-s9-b100-a1.00,6.0,2.0,6.0,17.0,0.9439743980434213,60.0,30125
RL-s9-b125-a1.00,6.0,2.0,6.0,17.0,0.9343211510267764,61.0,30657
RL-s9-b150-a1.00,6.0,2.0,6.0,17.0,0.9305706902972498,63.0,31898
RL-s9-b175-a1.00,6.0,3.0,6.0,17.0,0.9284848596561106,62.0,31349
RL-s9-b200-a1.00,5.0,2.0,5.0,17.0,0.9392577428214798,31.0,33645
RL-s9-b225-a1.00,4.0,1.0,4.0,17.0,0.958548441107121,16.0,34394
RL-s9-b25-a1.00,5.0,3.0,5.0,17.0,0.939403124961999,32.0,33630
RL-s9-b250-a1.00,4.0,1.0,4.0,17.0,0.9508841098972723,16.0,34000
RL-s9-b275-a1.00,4.0,1.0,4.0,17.0,0.9581160615362372,16.0,35422
RL-s9-b300-a1.00,4.0,1.0,4.0,17.0,0.952744750518804,16.0,35098
RL-s9-b50-a1.00,4.0,1.0,4.0,17.0,0.9538002797569837,16.0,33784
RL-s9-b75-a1.00,9.0,3.0,9.0,17.0,0.9211570323787518,380.0,30331
