cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s0-b300-a1.00,0.74,111.18812499999581,0.0503430542677442,1.088749999999999,0.7875,6.0,1.0,6.0,17.0,0.9428199003302972,54.0,32863,RL
RL-s0-b100-a1.00,0.73625,107.29674999999602,0.06205562641464779,1.3968749999999983,0.82,4.0,1.0,4.0,17.0,0.9522631931056899,16.0,31323,RL
RL-s1-b200-a1.00,0.68625,118.1727499999954,0.038413319795890195,0.5279999999999998,0.72,5.0,2.0,5.0,17.0,0.9440506689614019,31.0,36046,RL
BT-v2,0.67125,101.60124999999621,0.10049144181910204,1.493624999999998,0.8425,4.0,2.0,4.0,17.0,0.9523549886447117,16.0,31978,BT
RL-s0-b200-a1.00,0.645,112.51187499999568,0.049399609192337386,0.8722499999999991,0.6875,6.0,2.0,6.0,17.0,0.9310190315037801,60.0,33254,RL
RL-s1-b100-a1.00,0.6425000000000001,117.05024999999546,0.03511639928154263,0.47837499999999994,0.6775,5.0,2.0,5.0,17.0,0.9473470325675002,32.0,34999,RL
RL-s1-b300-a1.00,0.6174999999999999,104.51437499999616,0.12765029168099828,1.0282499999999988,0.76,17.0,5.0,17.0,17.0,0.8864307905336889,4583.0,31141,RL
BT-v3,0.32875,104.41774999999606,0.008046191442581535,0.33125,0.5,5.0,3.0,5.0,17.0,0.9402036139137073,28.0,31234,BT
BT-v1,0.24125000000000002,98.32937499999636,0.0046903643040209966,0.011375000000000001,0.2325,1.0,1.0,1.0,3.0,0.995244845451407,2.0,28033,BT
