opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v2,BT-v1,BT-v2,0.25,0.5,-0.25,100,8.638747650492352e-16,3.678378749579644e-12,True
BT-v2,BT-v1,BT-v3,0.25,0.1575,0.0925,100,0.002512511718253933,1.0,False
BT-v2,BT-v1,HYB-s0-b0-a0.25,0.25,0.485,-0.235,100,3.3416653379851446e-12,1.3774344523174766e-08,True
BT-v2,BT-v1,HYB-s0-b0-a0.50,0.25,0.445,-0.195,100,7.00508593905317e-09,2.647221976368193e-05,True
BT-v2,BT-v1,HYB-s0-b0-a0.75,0.25,0.4325,-0.1825,100,1.1830303048300864e-08,4.4316315218935034e-05,True
BT-v2,BT-v1,HYB-s0-b100-a0.25,0.25,0.4575,-0.20750000000000002,100,1.1498468772702142e-07,0.0004084256108063801,True
BT-v2,BT-v1,HYB-s0-b100-a0.50,0.25,0.5375,-0.2875,100,3.140575145441775e-10,1.247122390254929e-06,True
BT-v2,BT-v1,HYB-s0-b100-a0.75,0.25,0.58,-0.32999999999999996,100,3.4009567174115553e-13,1.4202395251910656e-09,True
BT-v2,BT-v1,HYB-s0-b200-a0.25,0.25,0.51,-0.26,100,1.5520424956657648e-13,6.503058056839555e-10,True
BT-v2,BT-v1,HYB-s0-b200-a0.50,0.25,0.55,-0.30000000000000004,100,3.306669096418574e-16,1.4139317056285824e-12,True
BT-v2,BT-v1,HYB-s0-b200-a0.75,0.25,0.6425,-0.39249999999999996,100,4.157733133257224e-17,1.7957249402537951e-13,True
BT-v2,BT-v1,HYB-s0-b300-a0.25,0.25,0.53,-0.28,100,4.102142572255398e-15,1.738077807864612e-11,True
BT-v2,BT-v1,HYB-s0-b300-a0.50,0.25,0.6,-0.35,100,8.625116823764427e-17,3.707937722536327e-13,True
BT-v2,BT-v1,HYB-s0-b300-a0.75,0.25,0.7025,-0.4525,100,2.2002132005353152e-17,9.533523797919521e-14,True
BT-v2,BT-v1,HYB-s1-b100-a0.25,0.25,0.5225,-0.27249999999999996,100,4.5824164642320654e-14,1.9246149149774675e-10,True
BT-v2,BT-v1,HYB-s1-b100-a0.50,0.25,0.5525,-0.3025,100,3.3705680269374956e-14,1.4179979689326043e-10,True
BT-v2,BT-v1,HYB-s1-b100-a0.75,0.25,0.5875,-0.3375,100,1.6514417856535828e-15,7.020279030813381e-12,True
BT-v2,BT-v1,HYB-s1-b200-a0.25,0.25,0.5175,-0.26749999999999996,100,4.921590364630103e-12,2.0257265940817506e-08,True
BT-v2,BT-v1,HYB-s1-b200-a0.50,0.25,0.5975,-0.34750000000000003,100,2.124297038780181e-15,9.01764092962187e-12,True
BT-v2,BT-v1,HYB-s1-b200-a0.75,0.25,0.6775,-0.4275,100,5.804114161376739e-17,2.500412380721099e-13,True
BT-v2,BT-v1,HYB-s1-b300-a0.25,0.25,0.555,-0.30500000000000005,100,1.7410042314131129e-15,7.39926798350573e-12,True
BT-v2,BT-v1,HYB-s1-b300-a0.50,0.25,0.6325,-0.38249999999999995,100,4.5601472242897206e-17,1.9677035272810144e-13,True
BT-v2,BT-v1,HYB-s1-b300-a0.75,0.25,0.665,-0.41500000000000004,100,8.703963125565364e-17,3.740092955055437e-13,True
BT-v2,BT-v1,HYB-s2-b100-a0.25,0.25,0.525,-0.275,100,2.6641673957306298e-14,1.1216144736025951e-10,True
BT-v2,BT-v1,HYB-s2-b100-a0.50,0.25,0.5625,-0.3125,100,5.518575940793067e-15,2.3349094805495465e-11,True
BT-v2,BT-v1,HYB-s2-b100-a0.75,0.25,0.67,-0.42000000000000004,100,1.066332708212291e-16,4.577766316355365e-13,True
BT-v2,BT-v1,HYB-s2-b200-a0.25,0.25,0.545,-0.29500000000000004,100,1.7704016075721524e-16,7.579089282016384e-13,True
BT-v2,BT-v1,HYB-s2-b200-a0.50,0.25,0.5675,-0.3175,100,5.81120412878826e-17,2.5028856182691037e-13,True
BT-v2,BT-v1,HYB-s2-b200-a0.75,0.25,0.6825,-0.4325,100,8.657361786493525e-17,3.720934095834917e-13,True
BT-v2,BT-v1,HYB-s2-b300-a0.25,0.25,0.55,-0.30000000000000004,100,5.023886805117123e-16,2.144194888423988e-12,True
BT-v2,BT-v1,HYB-s2-b300-a0.50,0.25,0.595,-0.345,100,4.881845840424707e-17,2.105540110975176e-13,True
BT-v2,BT-v1,HYB-s2-b300-a0.75,0.25,0.6725,-0.4225,100,1.9475012452202473e-17,8.446312900520213e-14,True
BT-v2,BT-v1,HYB-s3-b100-a0.25,0.25,0.5075,-0.25749999999999995,100,3.267815249715434e-13,1.36561999285608e-09,True
BT-v2,BT-v1,HYB-s3-b100-a0.50,0.25,0.4875,-0.2375,100,4.829423589662483e-13,2.0143525792482215e-09,True
BT-v2,BT-v1,HYB-s3-b100-a0.75,0.25,0.5575,-0.3075,100,5.209706255602081e-15,2.2047476873708004e-11,True
BT-v2,BT-v1,HYB-s3-b200-a0.25,0.25,0.4775,-0.22749999999999998,100,3.8828888916935145e-12,1.5993619344885586e-08,True
BT-v2,BT-v1,HYB-s3-b200-a0.50,0.25,0.49,-0.24,100,1.383449363243191e-12,5.73163071191654e-09,True
BT-v2,BT-v1,HYB-s3-b200-a0.75,0.25,0.5475,-0.2975,100,1.0315514553661162e-13,4.3273583552608573e-10,True
BT-v2,BT-v1,HYB-s3-b300-a0.25,0.25,0.53,-0.28,100,2.0261028116773535e-14,8.533945042785013e-11,True
BT-v2,BT-v1,HYB-s3-b300-a0.50,0.25,0.5,-0.25,100,2.997950160729021e-12,1.2366544413007213e-08,True
BT-v2,BT-v1,HYB-s3-b300-a0.75,0.25,0.635,-0.385,100,1.1096032305622066e-16,4.761307462342428e-13,True
BT-v2,BT-v1,HYB-s4-b100-a0.25,0.25,0.515,-0.265,100,1.7081224103316846e-13,7.153616654469095e-10,True
BT-v2,BT-v1,HYB-s4-b100-a0.50,0.25,0.545,-0.29500000000000004,100,6.282457108580778e-15,2.656222865507953e-11,True
BT-v2,BT-v1,HYB-s4-b100-a0.75,0.25,0.5975,-0.34750000000000003,100,2.5917456660031363e-17,1.1219666988127578e-13,True
BT-v2,BT-v1,HYB-s4-b200-a0.25,0.25,0.525,-0.275,100,2.2835297473786968e-11,9.271130774357509e-08,True
BT-v2,BT-v1,HYB-s4-b200-a0.50,0.25,0.555,-0.30500000000000005,100,9.377544367869109e-15,3.9601369865511244e-11,True
BT-v2,BT-v1,HYB-s4-b200-a0.75,0.25,0.675,-0.42500000000000004,100,5.45856017313302e-16,2.3291676258758596e-12,True
BT-v2,BT-v1,HYB-s4-b300-a0.25,0.25,0.545,-0.29500000000000004,100,1.3376248853522289e-15,5.687581012517677e-12,True
BT-v2,BT-v1,HYB-s4-b300-a0.50,0.25,0.61,-0.36,100,1.3444695694229151e-16,5.76508551368546e-13,True
BT-v2,BT-v1,HYB-s4-b300-a0.75,0.25,0.7375,-0.48750000000000004,100,9.956346494798704e-18,4.337980167783795e-14,True
BT-v2,BT-v1,RL-s0-b0-a1.00,0.25,0.4375,-0.1875,100,6.540504497980486e-08,0.00023539275688231768,True
BT-v2,BT-v1,RL-s0-b100-a1.00,0.25,0.45,-0.2,100,1.2945585670949594e-06,0.004335476641201019,True
BT-v2,BT-v1,RL-s0-b200-a1.00,0.25,0.6625,-0.4125,100,1.5642702697206773e-16,6.704462376022823e-13,True
BT-v2,BT-v1,RL-s0-b300-a1.00,0.25,0.72,-0.47,100,9.048467859364113e-18,3.9487513738264986e-14,True
BT-v2,BT-v1,RL-s1-b100-a1.00,0.25,0.5475,-0.2975,100,4.280166974406666e-14,1.7989541793431216e-10,True
BT-v2,BT-v1,RL-s1-b200-a1.00,0.25,0.725,-0.475,100,3.277440644168644e-17,1.4174930786029387e-13,True
BT-v2,BT-v1,RL-s1-b300-a1.00,0.25,0.78,-0.53,100,3.8174993371796424e-18,1.6781727086241708e-14,True
BT-v2,BT-v1,RL-s2-b100-a1.00,0.25,0.6425,-0.39249999999999996,100,5.1072262002715727e-17,2.2022359375571022e-13,True
BT-v2,BT-v1,RL-s2-b200-a1.00,0.25,0.7175,-0.4675,100,1.558274282735958e-17,6.767585209922266e-14,True
BT-v2,BT-v1,RL-s2-b300-a1.00,0.25,0.74,-0.49,100,1.4171468833488742e-16,6.075308688916624e-13,True
BT-v2,BT-v1,RL-s3-b100-a1.00,0.25,0.5025,-0.25249999999999995,100,6.560735822421158e-13,2.730578249291686e-09,True
BT-v2,BT-v1,RL-s3-b200-a1.00,0.25,0.67,-0.42000000000000004,100,9.71088273448728e-16,4.131980603524338e-12,True
BT-v2,BT-v1,RL-s3-b300-a1.00,0.25,0.7175,-0.4675,100,2.5113684815968355e-17,1.0874225525314298e-13,True
BT-v2,BT-v1,RL-s4-b100-a1.00,0.25,0.5725,-0.3225,100,7.537414032184608e-16,3.2116921191138616e-12,True
BT-v2,BT-v1,RL-s4-b200-a1.00,0.25,0.6275,-0.37749999999999995,100,1.5728518238227498e-13,6.588676289993499e-10,True
BT-v2,BT-v1,RL-s4-b300-a1.00,0.25,0.7475,-0.49750000000000005,100,1.6163931884697838e-17,7.018379224335801e-14,True
BT-v2,BT-v2,BT-v3,0.5,0.1575,0.3425,100,3.8897063128537215e-17,1.680742097784093e-13,True
