cond,kill_win,timeout,wez,duration,dmg,family,score,d_star,fidelity_at_4,budget,cluster
HYB-s3-b300-a0.50,0.1225,0.7525,0.7237499999999991,105.76437499999602,18.09375,Hybrid,0.57125,17.0,0.9020781886196414,300,C1
HYB-s3-b300-a0.75,0.1,0.865,0.7136249999999993,114.16237499999562,17.840625,Hybrid,0.665,17.0,0.8970647412668051,300,C1
HYB-s4-b100-a0.25,0.2125,0.6775,1.1061249999999987,103.51387499999609,27.653125,Hybrid,0.635,17.0,0.9163177606888075,100,C1
HYB-s4-b100-a0.50,0.1825,0.7075,1.0468749999999987,105.13474999999603,26.171875,Hybrid,0.655,17.0,0.9271965952351578,100,C1
HYB-s4-b100-a0.75,0.1725,0.765,0.9591249999999989,110.40037499999582,23.978125,Hybrid,0.6825,11.0,0.9221511031819956,100,C1
HYB-s4-b200-a0.25,0.2375,0.55,1.1206249999999986,100.64499999999629,28.015625,Hybrid,0.625,17.0,0.918659073387324,200,C1
HYB-s4-b200-a0.50,0.2075,0.5675,1.0628749999999987,99.44012499999636,26.571875,Hybrid,0.64625,17.0,0.9179081146477992,200,C1
HYB-s4-b200-a0.75,0.2525,0.6125,1.5202499999999983,105.72812499999611,38.00625,Hybrid,0.7475,17.0,0.9258664907430826,200,C1
HYB-s4-b300-a0.25,0.1825,0.715,1.0061249999999986,105.18337499999603,25.153125,Hybrid,0.62875,7.0,0.9187953769945288,300,C1
HYB-s4-b300-a0.50,0.0975,0.8175,0.7156249999999993,106.37337499999596,17.890625,Hybrid,0.645,17.0,0.9173697096741456,300,C1
HYB-s4-b300-a0.75,0.145,0.815,1.018749999999999,112.07412499999573,25.46875,Hybrid,0.76125,17.0,0.9180979216647908,300,C1
RL-s0-b0-a1.00,0.3,0.5625,1.4877499999999981,105.08612499999609,37.19375,RL,0.6387499999999999,2.0,0.9749631399800442,0,C1
RL-s0-b100-a1.00,0.255,0.5,1.5942499999999982,97.24637499999659,39.85625,RL,0.6325,8.0,0.9204671500785542,100,C1
