cond,kill_win,timeout,wez,duration,dmg,family,score,d_star,fidelity_at_4,budget,cluster
HYB-s0-b0-a0.25,0.3,0.525,1.5021249999999982,101.83987499999621,37.553125,Hybrid,0.6575,5.0,0.9497840808309042,0,C4
HYB-s0-b0-a0.50,0.3075,0.56,1.4869999999999979,105.26062499999607,37.175,Hybrid,0.63625,3.0,0.9677290751298626,0,C4
HYB-s0-b0-a0.75,0.2825,0.575,1.4192499999999981,104.5468749999961,35.48125,Hybrid,0.62,3.0,0.9669414511098692,0,C4
HYB-s0-b100-a0.25,0.3175,0.4675,1.508749999999998,101.09074999999628,37.71875,Hybrid,0.645,17.0,0.9223386487017194,100,C4
HYB-s0-b100-a0.50,0.27,0.45,1.3403749999999983,94.40149999999662,33.509375,Hybrid,0.6625,17.0,0.9084446090236644,100,C4
HYB-s0-b100-a0.75,0.2925,0.53,1.681499999999998,99.43462499999647,42.0375,Hybrid,0.6925,17.0,0.9020401042642746,100,C4
HYB-s0-b200-a0.25,0.175,0.7025,0.9437499999999989,105.46562499999601,23.59375,Hybrid,0.61375,5.0,0.9320590267024784,200,C3
HYB-s0-b200-a0.50,0.14,0.755,0.7947499999999991,106.24587499999598,19.86875,Hybrid,0.625,11.0,0.9044512892323534,200,C3
HYB-s0-b200-a0.75,0.1125,0.8425,0.7504999999999993,113.04687499999567,18.7625,Hybrid,0.6975,17.0,0.934617218998436,200,C2
HYB-s0-b300-a0.25,0.205,0.715,1.1134999999999986,106.76099999999595,27.8375,Hybrid,0.63875,5.0,0.9475766836102352,300,C3
HYB-s0-b300-a0.50,0.07,0.8425,0.5098749999999995,108.63124999999583,12.746875,Hybrid,0.62125,6.0,0.936095347258068,300,C3
HYB-s0-b300-a0.75,0.0175,0.955,0.35374999999999984,116.32599999999549,8.84375,Hybrid,0.7050000000000001,6.0,0.9485651676243688,300,C1
HYB-s1-b100-a0.25,0.2675,0.59,1.4238749999999982,104.1212499999961,35.596875,Hybrid,0.67875,17.0,0.8933605612828904,100,C4
HYB-s1-b100-a0.50,0.2625,0.605,1.4062499999999982,103.22649999999614,35.15625,Hybrid,0.71,17.0,0.9109804667737784,100,C4
HYB-s1-b100-a0.75,0.235,0.685,1.3526249999999984,107.24637499999596,33.815625,Hybrid,0.6975,17.0,0.9214623771911769,100,C4
HYB-s1-b200-a0.25,0.25,0.635,1.3141249999999982,105.11762499999605,32.853125,Hybrid,0.655,17.0,0.9109033112879306,200,C4
HYB-s1-b200-a0.50,0.2425,0.6325,1.3024999999999982,104.6862499999961,32.5625,Hybrid,0.6925,17.0,0.886192608029084,200,C4
HYB-s1-b200-a0.75,0.2275,0.6975,1.4503749999999984,109.92949999999585,36.259375,Hybrid,0.765,17.0,0.8815300973757094,200,C2
HYB-s1-b300-a0.25,0.26,0.5975,1.3722499999999982,102.4003749999962,34.30625,Hybrid,0.67875,17.0,0.8905273495833478,300,C4
HYB-s1-b300-a0.50,0.235,0.6225,1.3448749999999985,104.71312499999607,33.621875,Hybrid,0.6975,17.0,0.8940247683398411,300,C4
HYB-s1-b300-a0.75,0.2875,0.6025,1.907999999999998,107.77549999999601,47.7,Hybrid,0.765,17.0,0.8983885670767339,300,C4
HYB-s10-b100-a0.25,0.1875,0.6525,0.9848749999999987,102.83162499999612,24.621875,Hybrid,0.6174999999999999,17.0,0.9211928523781558,100,C3
HYB-s10-b100-a0.50,0.1525,0.7175,0.968749999999999,106.02837499999599,24.21875,Hybrid,0.65375,17.0,0.9209428301907664,100,C3
HYB-s10-b100-a0.75,0.1775,0.7575,1.0506249999999988,113.64662499999568,26.265625,Hybrid,0.69,17.0,0.8817261512216817,100,C4
HYB-s10-b200-a0.25,0.115,0.7575,0.7742499999999991,105.09587499999606,19.35625,Hybrid,0.565,17.0,0.8984250355568799,200,C3
HYB-s10-b200-a0.50,0.0475,0.8175,0.5872499999999996,107.06537499999595,14.68125,Hybrid,0.6387499999999999,17.0,0.897978092450472,200,C4
HYB-s10-b200-a0.75,0.0125,0.955,0.7177500000000001,116.83674999999548,17.94375,Hybrid,0.7437499999999999,17.0,0.9158593973203,200,C1
HYB-s10-b300-a0.25,0.2525,0.6,1.3644999999999985,101.82262499999622,34.1125,Hybrid,0.69125,17.0,0.8959885447280388,300,C4
HYB-s10-b300-a0.50,0.2425,0.65,1.3971249999999984,101.96524999999623,34.928125,Hybrid,0.75625,17.0,0.8892632250201309,300,C3
HYB-s10-b300-a0.75,0.34,0.57,2.0242499999999977,98.93524999999649,50.60625,Hybrid,0.8225,17.0,0.8865393178123838,300,C4
HYB-s11-b100-a0.25,0.14,0.725,0.7791249999999991,103.7433749999961,19.478125,Hybrid,0.5775,17.0,0.9106323640136172,100,C3
HYB-s11-b100-a0.50,0.055,0.8025,0.4142499999999996,105.76274999999599,10.35625,Hybrid,0.56375,17.0,0.9054835834024214,100,C3
HYB-s11-b100-a0.75,0.065,0.875,0.5648749999999996,113.96549999999561,14.121875,Hybrid,0.6412500000000001,17.0,0.8989680069001317,100,C2
HYB-s11-b200-a0.25,0.0575,0.8125,0.4169999999999996,105.08737499999603,10.425,Hybrid,0.54125,17.0,0.9341478181192792,200,C3
HYB-s11-b200-a0.50,0.025,0.825,0.29974999999999985,106.43599999999597,7.49375,Hybrid,0.5587500000000001,17.0,0.886470610840587,200,C3
HYB-s11-b200-a0.75,0.0,0.9025,0.3251250000000001,114.02024999999563,8.128125,Hybrid,0.6499999999999999,17.0,0.9102399490618328,200,C1
