cond,d1,d2,f1,f2,s_even,s_odd
HYB-s9-b100-a0.25,17.0,17.0,0.883127654745823,0.8970229478222657,0.7,0.6875
HYB-s1-b200-a0.50,17.0,17.0,0.9141448054264775,0.8939380680788198,0.6925,0.6925
RL-s13-b100-a1.00,6.0,5.0,0.9182525743689723,0.9465400327178809,0.6775,0.7075
HYB-s0-b100-a0.75,17.0,17.0,0.9023172161559798,0.8905937111000825,0.68,0.705
HYB-s5-b200-a0.75,17.0,17.0,0.9157628292373368,0.9036986528222197,0.69,0.6925
HYB-s12-b100-a0.75,17.0,17.0,0.9236715666873726,0.9243894338013351,0.675,0.7075
HYB-s10-b300-a0.25,17.0,17.0,0.8968896621284124,0.9010088037243664,0.695,0.6875
RL-s5-b200-a1.00,5.0,6.0,0.935848261529424,0.9179928333136684,0.7075,0.675
HYB-s10-b100-a0.75,17.0,17.0,0.8793458953123823,0.8798978259738797,0.6825,0.6975
RL-s17-b300-a1.00,4.0,4.0,0.9637171888219024,0.9624652277428222,0.6825,0.695
HYB-s17-b100-a0.50,17.0,17.0,0.9161170420421705,0.8840616579823803,0.69,0.6875
HYB-s5-b300-a0.75,17.0,17.0,0.8966819725141195,0.91351884933908,0.68,0.695
RL-s11-b100-a1.00,5.0,17.0,0.9374997277512944,0.9162682182533395,0.68,0.6925
HYB-s14-b200-a0.75,17.0,17.0,0.8879972124787985,0.8956274548511421,0.6625,0.7075
RL-s13-b300-a1.00,11.0,17.0,0.8943800198145224,0.9035850746380782,0.6625,0.705
RL-s7-b300-a1.00,6.0,17.0,0.9351795974320656,0.8976243097444665,0.6875,0.6775
RL-s6-b100-a1.00,7.0,5.0,0.9370202018042667,0.9468567249786056,0.6825,0.6825
HYB-s4-b100-a0.75,17.0,17.0,0.9093775070285329,0.88945712636206,0.665,0.7
RL-s12-b200-a1.00,17.0,17.0,0.9169879551989305,0.890956246013962,0.6475,0.7125
HYB-s1-b100-a0.25,17.0,17.0,0.8969142227766601,0.9017831300351559,0.69,0.6675
HYB-s1-b300-a0.25,17.0,17.0,0.8866043201291889,0.8917717017252906,0.675,0.6825
HYB-s9-b200-a0.75,17.0,17.0,0.9112034201751097,0.8695204962473551,0.675,0.68
HYB-s12-b200-a0.25,17.0,17.0,0.9060320981496843,0.8817158196007582,0.7025,0.65
HYB-s14-b300-a0.25,17.0,17.0,0.9183878996847609,0.8824146089010702,0.675,0.6775
HYB-s2-b300-a0.75,17.0,17.0,0.8948018136969889,0.9213626667954307,0.6675,0.685
HYB-s12-b300-a0.25,17.0,17.0,0.8890278771143164,0.8955873313633361,0.6675,0.68
HYB-s16-b100-a0.50,17.0,17.0,0.9001450275898957,0.909401517317977,0.6575,0.69
HYB-s14-b100-a0.75,17.0,17.0,0.9074014719920648,0.903307885001314,0.68,0.665
HYB-s2-b100-a0.50,6.0,17.0,0.9367112250250017,0.9082037515765548,0.6925,0.6525
HYB-s18-b100-a0.75,17.0,17.0,0.8728779292663877,0.8888817295477578,0.675,0.67
HYB-s8-b300-a0.75,17.0,17.0,0.9005836050810706,0.8661170380038694,0.69,0.655
HYB-s16-b300-a0.50,17.0,17.0,0.8993680030203564,0.8918984864541384,0.665,0.6775
BT-v2,4.0,5.0,0.951217873069442,0.9489927492435009,0.6725,0.67
HYB-s18-b300-a0.75,17.0,17.0,0.9120295630976395,0.9051242073453772,0.6475,0.69
HYB-s5-b100-a0.25,13.0,17.0,0.9314301639850737,0.9128780428249531,0.68,0.6575
HYB-s2-b100-a0.25,17.0,17.0,0.9378551361691101,0.9062550936895858,0.6725,0.665
HYB-s7-b300-a0.75,17.0,17.0,0.8839039406570968,0.8919409012531472,0.6725,0.665
RL-s6-b200-a1.00,5.0,5.0,0.9489290321095905,0.9491298042370591,0.7025,0.63
HYB-s3-b300-a0.75,17.0,17.0,0.8831495448337104,0.8827636173946816,0.66,0.67
RL-s12-b100-a1.00,5.0,5.0,0.949435669293296,0.949422585868693,0.655,0.67
RL-s16-b200-a1.00,6.0,6.0,0.9350526314017779,0.9301515638053667,0.6775,0.6475
HYB-s12-b200-a0.50,17.0,17.0,0.9100209494194137,0.8941497100757976,0.665,0.66
HYB-s0-b100-a0.50,17.0,17.0,0.9328907459156346,0.9136605504158014,0.6525,0.6725
HYB-s13-b200-a0.75,17.0,17.0,0.9131200722860245,0.9103917633153539,0.6525,0.6675
HYB-s19-b200-a0.75,17.0,17.0,0.9004231892453203,0.9101104545682468,0.6625,0.6575
HYB-s8-b100-a0.75,9.0,17.0,0.930530907484685,0.934866201224637,0.66,0.6575
HYB-s0-b0-a0.25,4.0,6.0,0.9624520501695648,0.9338392382997576,0.68,0.635
HYB-s14-b200-a0.50,17.0,17.0,0.8880419094159236,0.8996040798327644,0.6475,0.665
HYB-s15-b100-a0.50,17.0,5.0,0.9335328286887384,0.9327900691654004,0.6525,0.6575
HYB-s1-b200-a0.25,17.0,17.0,0.9196941531753526,0.9041986552169328,0.685,0.625
HYB-s17-b100-a0.25,17.0,17.0,0.9302491911542458,0.8992769531011463,0.6375,0.6725
HYB-s4-b100-a0.50,17.0,17.0,0.9324623740499267,0.9062690993079435,0.645,0.665
HYB-s10-b100-a0.50,17.0,17.0,0.9215715615298744,0.8932867215507168,0.6425,0.665
HYB-s17-b200-a0.50,17.0,17.0,0.8893293137869078,0.9308461816896461,0.6575,0.65
HYB-s18-b200-a0.75,17.0,17.0,0.8974334378128634,0.8936977569958134,0.6725,0.6325
HYB-s17-b200-a0.25,17.0,17.0,0.9166432389477539,0.8995554235226288,0.65,0.6525
HYB-s11-b200-a0.75,17.0,17.0,0.9170045921268826,0.9090676882957038,0.6175,0.6825
RL-s4-b100-a1.00,6.0,17.0,0.91440463297981,0.8994340449555476,0.64,0.655
HYB-s13-b300-a0.50,17.0,6.0,0.9313024204971464,0.9303960822152475,0.635,0.66
RL-s1-b100-a1.00,6.0,12.0,0.9289086873934195,0.9161827955167855,0.66,0.635
HYB-s4-b200-a0.50,17.0,17.0,0.9095418300837966,0.8915157094232686,0.6375,0.655
HYB-s14-b100-a0.50,17.0,17.0,0.9208825571128233,0.9093424336342779,0.64,0.65
HYB-s12-b100-a0.25,17.0,17.0,0.901138796411609,0.9097490542576219,0.6425,0.6475
RL-s8-b100-a1.00,4.0,3.0,0.9576902953582261,0.9690382640366535,0.64,0.65
HYB-s0-b100-a0.25,17.0,17.0,0.9249958108790021,0.9246287515406795,0.6475,0.6425
HYB-s4-b300-a0.50,17.0,17.0,0.9297422473865907,0.9104373757613065,0.6325,0.6575
RL-s18-b200-a1.00,9.0,6.0,0.9343663389104886,0.9469150712724973,0.65,0.6375
HYB-s17-b100-a0.75,17.0,17.0,0.9113543849093275,0.8885232937473728,0.655,0.6325
RL-s8-b300-a1.00,17.0,17.0,0.9007940445401906,0.9158706252913553,0.66,0.625
RL-s11-b200-a1.00,5.0,17.0,0.9440965330252339,0.9304613368790178,0.6475,0.6375
HYB-s11-b100-a0.75,17.0,17.0,0.9175829305541889,0.8879323996426037,0.63,0.6525
HYB-s11-b300-a0.50,17.0,17.0,0.9278157452247862,0.8922734161836698,0.64,0.6425
HYB-s7-b200-a0.25,17.0,6.0,0.9061892862558724,0.923351498457752,0.65,0.6325
HYB-s0-b300-a0.25,4.0,17.0,0.9536616245414714,0.9275773810432514,0.6375,0.64
RL-s0-b0-a1.00,2.0,3.0,0.9790846736365276,0.9690278835789348,0.6525,0.625
HYB-s6-b100-a0.75,17.0,17.0,0.9341733203048262,0.9189376079418597,0.655,0.6225
HYB-s10-b200-a0.50,17.0,17.0,0.8951466052666708,0.8841624672504018,0.6375,0.64
HYB-s6-b300-a0.50,17.0,17.0,0.928493680602753,0.9130279764557261,0.635,0.64
HYB-s7-b200-a0.75,17.0,17.0,0.8831351778793923,0.8918285230616955,0.6375,0.635
HYB-s2-b200-a0.25,17.0,17.0,0.8971443057771177,0.9052015183766057,0.6475,0.625
HYB-s0-b0-a0.50,3.0,4.0,0.9610146257455019,0.9635913394898522,0.66,0.6125
