cond,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
HYB-s3-b300-a0.25,5.0,2.0,17.0,0.9400185616053279,0.6881507369664184,0.23872716372274427
HYB-s3-b300-a0.50,17.0,5.0,17.0,0.8884966088612645,0.6712005769216959,0.2283657287824401
HYB-s3-b300-a0.75,17.0,17.0,17.0,0.8917348111166774,0.639619125049643,0.2282489643417738
RL-s3-b300-a1.00,17.0,5.0,17.0,0.8853131758461888,0.6519887566043474,0.21891851986341915
HYB-s4-b300-a0.25,6.0,3.0,17.0,0.9347464995680068,0.6711031819945953,0.22768398328068512
HYB-s4-b300-a0.50,17.0,4.0,17.0,0.9078007737523827,0.6732292902171155,0.2273620657005535
HYB-s4-b300-a0.75,17.0,5.0,17.0,0.8846191427985681,0.6782562225850365,0.2405550000024102
RL-s4-b300-a1.00,17.0,5.0,17.0,0.8919443288023341,0.6705502402660246,0.2707124295332352
HYB-s5-b300-a0.25,6.0,4.0,17.0,0.9219005794867547,0.6864555734064455,0.2306371221602376
HYB-s5-b300-a0.50,17.0,5.0,17.0,0.8915204932322398,0.6802603958374196,0.22721278949039747
HYB-s5-b300-a0.75,17.0,5.0,17.0,0.8913379043786381,0.668086485964025,0.22707611343899126
RL-s5-b300-a1.00,17.0,4.0,17.0,0.9042188148122936,0.6738333089608216,0.2315575606657697
HYB-s6-b300-a0.25,17.0,4.0,17.0,0.9270025006520994,0.6568243014226349,0.220013069693847
HYB-s6-b300-a0.50,17.0,6.0,17.0,0.8755572049959334,0.6854825195750155,0.23679262341074628
HYB-s6-b300-a0.75,17.0,6.0,17.0,0.8736427909558273,0.6751054303830571,0.2455752896602068
RL-s6-b300-a1.00,17.0,6.0,17.0,0.8632904352665777,0.6557012015932684,0.25778018834750227
HYB-s7-b300-a0.25,6.0,4.0,17.0,0.926685456424498,0.6959566228031436,0.23995504586186514
HYB-s7-b300-a0.50,17.0,5.0,17.0,0.8895730629420194,0.6784791997446202,0.2315803619946089
HYB-s7-b300-a0.75,17.0,17.0,17.0,0.8808000304667147,0.6804804255035026,0.23350428766913667
RL-s7-b300-a1.00,17.0,6.0,17.0,0.8642168626132405,0.6841968748085844,0.23004653045724274
HYB-s8-b300-a0.25,7.0,4.0,17.0,0.9266734562847759,0.6684070130456353,0.21707280948159696
HYB-s8-b300-a0.50,17.0,5.0,17.0,0.8881557612286876,0.6821287090123976,0.22803856645795537
HYB-s8-b300-a0.75,17.0,17.0,17.0,0.852985832011785,0.6595090980041984,0.22151946815018425
RL-s8-b300-a1.00,17.0,17.0,17.0,0.8351692287122097,0.6752364326866644,0.22267850425233968
HYB-s9-b300-a0.25,7.0,3.0,17.0,0.9314071539170536,0.6872177947964512,0.22931364964042192
HYB-s9-b300-a0.50,17.0,4.0,17.0,0.9118781763040383,0.6643081084318787,0.2250988799039739
HYB-s9-b300-a0.75,17.0,4.0,17.0,0.9023027027827596,0.646858972250707,0.22237197305764747
RL-s9-b300-a1.00,8.0,4.0,17.0,0.9064106491010638,0.6683916098093257,0.22425093547932454
HYB-s10-b300-a0.25,8.0,4.0,17.0,0.9170361190192655,0.6758822340120082,0.23188270704806774
HYB-s10-b300-a0.50,17.0,6.0,17.0,0.857706729814047,0.6903022806053265,0.24500593363784579
HYB-s10-b300-a0.75,17.0,7.0,17.0,0.8337203491420816,0.7031991623266312,0.26940350305163097
RL-s10-b300-a1.00,17.0,7.0,17.0,0.8160009593649654,0.691967348804772,0.26279575229864127
HYB-s11-b300-a0.25,6.0,3.0,17.0,0.9251881996292649,0.6958360607101111,0.23071502295225485
HYB-s11-b300-a0.50,17.0,4.0,17.0,0.9047696327094824,0.6799598258175278,0.22231296416246896
HYB-s11-b300-a0.75,17.0,4.0,17.0,0.9091519350263929,0.6441228949605657,0.22809925440843012
RL-s11-b300-a1.00,9.0,4.0,17.0,0.9162010993059045,0.6319284359777754,0.22676534799090514
HYB-s12-b300-a0.25,5.0,3.0,17.0,0.9365727223893491,0.6752532444253835,0.22697123199910663
HYB-s12-b300-a0.50,17.0,4.0,17.0,0.9060418981469027,0.66165735213995,0.23360693889044795
HYB-s12-b300-a0.75,17.0,5.0,17.0,0.8859708793311292,0.6361712021565851,0.23978274254182153
RL-s12-b300-a1.00,17.0,8.0,17.0,0.8459797032451107,0.6362842855337522,0.2480545055380244
HYB-s13-b300-a0.25,7.0,4.0,17.0,0.9184839866623674,0.6727745212901954,0.22031143817341622
HYB-s13-b300-a0.50,17.0,5.0,17.0,0.872717442147929,0.683601257854422,0.22341979252156632
HYB-s13-b300-a0.75,17.0,17.0,17.0,0.8045068960267292,0.6947123124272041,0.2359253330524626
RL-s13-b300-a1.00,17.0,17.0,17.0,0.7486528513135736,0.6965095058021885,0.24851157083884365
HYB-s14-b300-a0.25,5.0,3.0,17.0,0.9291237823242119,0.6750588423060715,0.22789683347361325
HYB-s14-b300-a0.50,17.0,4.0,17.0,0.9074588721415642,0.6625665411800385,0.21373965275756576
HYB-s14-b300-a0.75,17.0,5.0,17.0,0.898131411877465,0.6581840872420425,0.21416009594826582
RL-s14-b300-a1.00,8.0,4.0,17.0,0.9019019107700322,0.661057225717167,0.23516773484063902
HYB-s15-b300-a0.25,17.0,3.0,17.0,0.9254711946179759,0.6647942844165147,0.2195326611610175
HYB-s15-b300-a0.50,17.0,4.0,17.0,0.9008221348626092,0.6659205639694034,0.2263883946904912
HYB-s15-b300-a0.75,17.0,3.0,17.0,0.9244093798262836,0.6404582789087959,0.22785073241689324
RL-s15-b300-a1.00,7.0,3.0,17.0,0.9262477847939459,0.6617112386901766,0.2381382243023293
HYB-s16-b300-a0.25,7.0,3.0,17.0,0.926217131207581,0.690226405548644,0.23250874521392975
HYB-s16-b300-a0.50,17.0,5.0,17.0,0.8831145782446168,0.6945348681174887,0.23796034874370084
HYB-s16-b300-a0.75,17.0,14.0,17.0,0.8523519522899201,0.7038831768250281,0.25072367982722293
RL-s16-b300-a1.00,17.0,17.0,17.0,0.8223606404022771,0.6972478267535109,0.26085910505695703
HYB-s17-b300-a0.25,17.0,4.0,17.0,0.9221837159495868,0.6677041019951627,0.225872540129045
