cond,kind,alpha,bt_version,ckpt,budget,train_seed,opponent,seed,side,score,win,draw,loss,outcome,duration,damage_dealt,damage_taken,wez_time,surv_time,viol_deck,viol_over_g,viol_sep,mean_es
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10000,0,0.5,0,1,0,collision,5.999999999999987,0.0,0.0,0.0,5.999999999999987,0.0,0.0,0.05172413793103448,6675.0890387576665
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10000,1,1.0,1,0,0,timeout,120.19999999999531,50.0,0.0,2.000000000000001,120.19999999999531,0.0,0.0,0.004159733777038269,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10001,0,0.0,0,0,1,crash,107.79999999999602,0.0,0.0,0.0,107.79999999999602,0.03671003717472119,0.0,0.0,9405.932138534803
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10001,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10002,0,0.0,0,0,1,timeout,120.19999999999531,0.0,28.75,0.0,120.19999999999531,0.0,0.0,0.0,11170.061031978938
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10002,1,0.0,0,0,1,timeout,120.19999999999531,0.0,95.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10003,0,0.0,0,0,1,timeout,120.19999999999531,0.0,38.75,0.0,120.19999999999531,0.0,0.0,0.0,12553.106108283822
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10003,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10004,0,0.0,0,0,1,gun_kill,13.950000000000063,0.0,100.0,0.0,13.950000000000063,0.0,0.0,0.0,6468.57022165141
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10004,1,0.0,0,0,1,gun_kill,21.35000000000017,0.0,100.0,0.0,21.35000000000017,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10005,0,0.0,0,0,1,timeout,120.19999999999531,0.0,8.75,0.0,120.19999999999531,0.0,0.0,0.0,12225.352674776967
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10005,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0033277870216306157,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10006,0,0.0,0,0,1,gun_kill,13.05000000000005,0.0,100.0,0.0,13.05000000000005,0.0,0.0,0.0,7128.632541266703
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10006,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10007,0,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,10655.357803487894
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10007,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10008,0,0.5,0,1,0,collision,6.549999999999985,0.0,17.5,0.0,6.549999999999985,0.0,0.0,0.046875,6875.133835217373
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10008,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10009,0,0.0,0,0,1,timeout,120.19999999999531,0.0,32.5,0.0,120.19999999999531,0.0,0.0,0.0,11421.554422892594
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10009,1,0.0,0,0,1,gun_kill,28.150000000000265,0.0,100.0,0.0,28.150000000000265,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10010,0,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,11462.380997773846
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10010,1,0.0,0,0,1,timeout,120.19999999999531,0.0,48.75,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10011,0,0.0,0,0,1,gun_kill,25.550000000000228,0.0,100.0,0.0,25.550000000000228,0.0,0.0,0.0,7575.751666238023
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10011,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10012,0,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,11346.244654577591
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10012,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.004575707154742097,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10013,0,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,11599.455372864084
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10013,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10014,0,0.0,0,0,1,timeout,120.19999999999531,0.0,58.75,0.0,120.19999999999531,0.0,0.0,0.0,10800.069561684686
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10014,1,0.0,0,0,1,gun_kill,17.85000000000012,0.0,100.0,0.0,17.85000000000012,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10015,0,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.006239600665557404,10338.377661883067
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10015,1,0.0,0,0,1,gun_kill,26.30000000000024,0.0,100.0,0.0,26.30000000000024,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10016,0,0.0,0,0,1,gun_kill,19.900000000000148,0.0,100.0,0.0,19.900000000000148,0.0,0.0,0.03282828282828283,6392.434970221914
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10016,1,0.5,0,1,0,collision,4.399999999999992,8.75,5.0,0.35,4.399999999999992,0.0,0.0,0.08333333333333333,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10017,0,0.0,0,0,1,crash,109.64999999999591,0.0,38.75,0.0,109.64999999999591,0.03604014598540146,0.0,0.0,9381.524200573405
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10017,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10018,0,0.0,0,0,1,gun_kill,17.25000000000011,0.0,100.0,0.0,17.25000000000011,0.0,0.0,0.0,6499.938799678836
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10018,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10019,0,0.0,0,0,1,timeout,120.19999999999531,0.0,58.75,0.0,120.19999999999531,0.0,0.0,0.0,10510.74519753271
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10019,1,0.0,0,0,1,timeout,120.19999999999531,0.0,47.5,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10020,0,0.5,0,1,0,collision,4.049999999999994,12.5,0.0,0.49999999999999994,4.049999999999994,0.0,0.0,0.0625,7347.443276933688
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10020,1,0.5,0,1,0,collision,4.199999999999993,16.25,0.0,0.65,4.199999999999993,0.0,0.0,0.0875,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10021,0,0.0,0,0,1,timeout,120.19999999999531,0.0,11.25,0.0,120.19999999999531,0.0,0.0,0.0,11355.082119049062
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10021,1,0.0,0,0,1,timeout,120.19999999999531,0.0,2.5,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10022,0,0.0,0,0,1,timeout,120.19999999999531,0.0,27.5,0.0,120.19999999999531,0.0,0.0,0.0,11138.29343568048
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10022,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10023,0,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,11896.135890963084
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10023,1,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10024,0,0.5,0,1,0,timeout,120.19999999999531,0.0,0.0,0.0,120.19999999999531,0.0,0.0,0.004575707154742097,10654.892150549234
