cond,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples
BT-v1,1.0,1.0,1.0,3.0,0.995244845451407,2.0,28033
BT-v2,4.0,2.0,4.0,17.0,0.9523549886447117,16.0,31978
BT-v3,5.0,3.0,5.0,17.0,0.9402036139137073,28.0,31234
HYB-s0-b0-a0.25,5.0,2.0,5.0,17.0,0.9497840808309042,32.0,30881
HYB-s0-b0-a0.50,3.0,1.0,3.0,17.0,0.9677290751298626,8.0,30177
HYB-s0-b0-a0.75,3.0,1.0,3.0,17.0,0.9669414511098692,8.0,30583
HYB-s0-b100-a0.25,17.0,3.0,17.0,17.0,0.9223386487017194,3238.0,30964
HYB-s0-b100-a0.50,17.0,4.0,17.0,17.0,0.9084446090236644,4378.0,27302
HYB-s0-b100-a0.75,17.0,4.0,17.0,17.0,0.9020401042642746,4238.0,30903
HYB-s0-b200-a0.25,5.0,3.0,5.0,17.0,0.9320590267024785,32.0,30946
HYB-s0-b200-a0.50,11.0,4.0,11.0,17.0,0.9044512892323534,730.0,30794
HYB-s0-b200-a0.75,17.0,1.0,17.0,17.0,0.934617218998436,3168.0,33357
HYB-s0-b300-a0.25,5.0,2.0,5.0,17.0,0.9475766836102352,32.0,33372
HYB-s0-b300-a0.50,6.0,3.0,6.0,17.0,0.9360953472580681,63.0,32079
HYB-s0-b300-a0.75,6.0,1.0,6.0,17.0,0.9485651676243689,60.0,34471
HYB-s1-b100-a0.25,17.0,5.0,17.0,17.0,0.8933605612828904,2967.0,31830
HYB-s1-b100-a0.50,17.0,4.0,17.0,17.0,0.9109804667737785,2900.0,32431
HYB-s1-b100-a0.75,17.0,3.0,17.0,17.0,0.9214623771911767,2912.0,32824
HYB-s1-b200-a0.25,17.0,4.0,17.0,17.0,0.9109033112879306,2862.0,31662
HYB-s1-b200-a0.50,17.0,7.0,17.0,17.0,0.886192608029084,2121.0,31499
HYB-s1-b200-a0.75,17.0,17.0,17.0,17.0,0.8815300973757094,2870.0,32433
HYB-s1-b300-a0.25,17.0,6.0,17.0,17.0,0.8905273495833478,3250.0,30677
HYB-s1-b300-a0.50,17.0,5.0,17.0,17.0,0.8940247683398411,3357.0,30681
HYB-s1-b300-a0.75,17.0,5.0,17.0,17.0,0.8983885670767339,3520.0,31836
HYB-s2-b100-a0.25,17.0,3.0,17.0,17.0,0.9255286502486609,3000.0,30911
HYB-s2-b100-a0.50,7.0,3.0,7.0,17.0,0.9397377101363849,112.0,33191
HYB-s2-b100-a0.75,17.0,3.0,17.0,17.0,0.9218864545971219,3216.0,31769
HYB-s2-b200-a0.25,17.0,4.0,17.0,17.0,0.9145507670021324,3155.0,29963
HYB-s2-b200-a0.50,17.0,4.0,17.0,17.0,0.9129101854075468,3710.0,30590
HYB-s2-b200-a0.75,17.0,6.0,17.0,17.0,0.8880818893476422,2680.0,32693
HYB-s2-b300-a0.25,8.0,3.0,8.0,17.0,0.9308302765491548,206.0,30253
HYB-s2-b300-a0.50,17.0,4.0,17.0,17.0,0.9045914203631876,3737.0,28721
HYB-s2-b300-a0.75,10.0,3.0,10.0,17.0,0.9233124802108807,619.0,34955
HYB-s3-b100-a0.25,17.0,5.0,17.0,17.0,0.8872240328305081,3154.0,31174
HYB-s3-b100-a0.50,17.0,3.0,17.0,17.0,0.9235997990903757,3769.0,32085
HYB-s3-b100-a0.75,17.0,3.0,17.0,17.0,0.9144259229124557,4145.0,33241
HYB-s3-b200-a0.25,17.0,3.0,17.0,17.0,0.925234792953301,2805.0,31882
HYB-s3-b200-a0.50,17.0,6.0,17.0,17.0,0.8846948142955157,3082.0,32387
HYB-s3-b200-a0.75,17.0,4.0,17.0,17.0,0.901499695902172,5147.0,34335
HYB-s3-b300-a0.25,17.0,4.0,17.0,17.0,0.9201465038307047,3048.0,32311
HYB-s3-b300-a0.50,17.0,4.0,17.0,17.0,0.9020781886196414,2696.0,30774
HYB-s3-b300-a0.75,17.0,7.0,17.0,17.0,0.8970647412668051,3528.0,33595
HYB-s4-b100-a0.25,17.0,3.0,17.0,17.0,0.9163177606888075,4307.0,31972
HYB-s4-b100-a0.50,17.0,3.0,17.0,17.0,0.9271965952351578,4914.0,31659
HYB-s4-b100-a0.75,11.0,4.0,11.0,17.0,0.9221511031819956,800.0,32983
HYB-s4-b200-a0.25,17.0,3.0,17.0,17.0,0.9186590733873239,3759.0,30372
HYB-s4-b200-a0.50,17.0,4.0,17.0,17.0,0.9179081146477991,4426.0,28091
HYB-s4-b200-a0.75,17.0,3.0,17.0,17.0,0.9258664907430826,4984.0,31214
HYB-s4-b300-a0.25,7.0,3.0,7.0,17.0,0.9187953769945288,114.0,30816
HYB-s4-b300-a0.50,17.0,3.0,17.0,17.0,0.9173697096741457,4299.0,31023
HYB-s4-b300-a0.75,17.0,3.0,17.0,17.0,0.9180979216647907,5554.0,34243
HYB-s5-b100-a0.25,6.0,3.0,6.0,17.0,0.9336886792367018,64.0,34044
HYB-s5-b100-a0.50,9.0,3.0,9.0,17.0,0.9239293665907974,334.0,32658
HYB-s5-b100-a0.75,17.0,3.0,17.0,17.0,0.9160447640529228,3502.0,33453
HYB-s5-b200-a0.25,17.0,3.0,17.0,17.0,0.9227619781287983,2524.0,30322
HYB-s5-b200-a0.50,17.0,4.0,17.0,17.0,0.920787979195001,2703.0,33285
HYB-s5-b200-a0.75,17.0,8.0,17.0,17.0,0.8841537123930509,2811.0,32982
HYB-s5-b300-a0.25,17.0,4.0,17.0,17.0,0.9061543930647139,3280.0,31528
HYB-s5-b300-a0.50,17.0,5.0,17.0,17.0,0.8894859193045862,3273.0,30193
HYB-s5-b300-a0.75,17.0,3.0,17.0,17.0,0.9127545167344069,4134.0,34378
HYB-s6-b100-a0.25,6.0,3.0,6.0,17.0,0.9268633345163689,63.0,32394
HYB-s6-b100-a0.50,6.0,3.0,6.0,17.0,0.9364328187150734,64.0,33500
HYB-s6-b100-a0.75,17.0,2.0,17.0,17.0,0.9195657052699316,5023.0,35389
HYB-s6-b200-a0.25,17.0,3.0,17.0,17.0,0.920482767334806,3531.0,32929
HYB-s6-b200-a0.50,17.0,4.0,17.0,17.0,0.913594422576362,4997.0,33399
HYB-s6-b200-a0.75,5.0,1.0,5.0,17.0,0.9366048523883845,32.0,34914
HYB-s6-b300-a0.25,17.0,3.0,17.0,17.0,0.9302783622349434,2916.0,33428
HYB-s6-b300-a0.50,17.0,3.0,17.0,17.0,0.9253058301895976,3581.0,33144
HYB-s6-b300-a0.75,6.0,2.0,6.0,17.0,0.9352908935611236,64.0,35297
HYB-s7-b100-a0.25,17.0,4.0,17.0,17.0,0.9106209467333042,3247.0,33387
HYB-s7-b100-a0.50,17.0,5.0,17.0,17.0,0.8968152323825933,2681.0,32100
HYB-s7-b100-a0.75,17.0,5.0,17.0,17.0,0.8996399546831176,3664.0,34668
HYB-s7-b200-a0.25,17.0,4.0,17.0,17.0,0.9008815052417077,3743.0,30263
HYB-s7-b200-a0.50,17.0,4.0,17.0,17.0,0.9005422060376427,3466.0,31550
HYB-s7-b200-a0.75,17.0,6.0,17.0,17.0,0.888506859702837,3039.0,31948
HYB-s7-b300-a0.25,17.0,3.0,17.0,17.0,0.9213250877988115,2988.0,30315
HYB-s7-b300-a0.50,17.0,4.0,17.0,17.0,0.9088033788885204,4062.0,33184
HYB-s7-b300-a0.75,17.0,17.0,17.0,17.0,0.893594392755891,2707.0,33700
RL-s0-b0-a1.00,2.0,1.0,2.0,17.0,0.9749631399800442,4.0,31100
RL-s0-b100-a1.00,8.0,3.0,8.0,17.0,0.9204671500785542,215.0,29091
RL-s0-b200-a1.00,4.0,1.0,4.0,17.0,0.952853330877906,16.0,34253
RL-s0-b300-a1.00,3.0,1.0,3.0,17.0,0.9657879878027142,8.0,35287
RL-s1-b100-a1.00,15.0,2.0,15.0,17.0,0.9259358984729622,2823.0,32497
RL-s1-b200-a1.00,17.0,3.0,17.0,17.0,0.9183590402195994,3675.0,33465
RL-s1-b300-a1.00,17.0,5.0,17.0,17.0,0.8981994883402624,2996.0,33946
RL-s2-b100-a1.00,6.0,3.0,6.0,17.0,0.9293113844947402,61.0,32705
RL-s2-b200-a1.00,7.0,3.0,7.0,17.0,0.9258647818832463,119.0,34629
RL-s2-b300-a1.00,6.0,4.0,6.0,17.0,0.923618598082829,63.0,34197
RL-s3-b100-a1.00,5.0,2.0,5.0,17.0,0.9467131246925043,32.0,34086
RL-s3-b200-a1.00,5.0,3.0,5.0,17.0,0.9311919272759567,32.0,35237
RL-s3-b300-a1.00,6.0,2.0,6.0,17.0,0.9314722870402549,61.0,34483
RL-s4-b100-a1.00,7.0,4.0,7.0,17.0,0.9224582280886785,104.0,33560
RL-s4-b200-a1.00,6.0,4.0,6.0,17.0,0.9372885220838404,64.0,31793
RL-s4-b300-a1.00,5.0,2.0,5.0,17.0,0.9449104162582058,32.0,35346
RL-s5-b100-a1.00,6.0,3.0,6.0,17.0,0.9277929378732573,62.0,34927
RL-s5-b200-a1.00,5.0,2.0,5.0,17.0,0.9328022684466543,32.0,33916
RL-s5-b300-a1.00,5.0,1.0,5.0,17.0,0.9440381768284404,32.0,34646
RL-s6-b100-a1.00,6.0,2.0,6.0,17.0,0.9453246962163797,64.0,34384
RL-s6-b200-a1.00,5.0,2.0,5.0,17.0,0.9364701166370626,32.0,35217
RL-s6-b300-a1.00,5.0,2.0,5.0,17.0,0.9470774548307749,32.0,35436
RL-s7-b100-a1.00,17.0,5.0,17.0,17.0,0.8908755335533293,3429.0,33854
RL-s7-b200-a1.00,9.0,4.0,9.0,17.0,0.9106125121352765,343.0,33635
RL-s7-b300-a1.00,7.0,4.0,7.0,17.0,0.9105768669969455,99.0,35273
