cond,kill_win,timeout,wez,duration,dmg,family,score,d_star,fidelity_at_4,budget,cluster
RL-s0-b300-a1.00,0.0075,0.9625,0.33862499999999995,117.05562499999546,8.465625,RL,0.72875,3.0,0.9657879878027142,300,C1
RL-s1-b300-a1.00,0.335,0.6025,1.9426249999999976,110.41612499999586,48.565625,RL,0.785,17.0,0.8981994883402624,300,C2
RL-s2-b300-a1.00,0.0125,0.9275,0.593375,116.21037499999551,14.834375,RL,0.74625,6.0,0.923618598082829,300,C1
RL-s3-b300-a1.00,0.0325,0.9225,0.6156249999999999,114.34874999999562,15.390625,RL,0.7325,6.0,0.9314722870402548,300,C1
RL-s4-b300-a1.00,0.0975,0.8525,0.8699999999999993,114.6563749999956,21.75,RL,0.755,5.0,0.9449104162582058,300,C1
RL-s5-b300-a1.00,0.01,0.9575,0.527875,117.12412499999546,13.196875,RL,0.69625,5.0,0.9440381768284404,300,C1
RL-s6-b300-a1.00,0.02,0.935,0.5621249999999999,117.15949999999548,14.053125,RL,0.7462500000000001,5.0,0.9470774548307748,300,C1
RL-s7-b300-a1.00,0.055,0.91,0.5713749999999996,116.72912499999548,14.284375,RL,0.6825,7.0,0.9105768669969456,300,C1
