cond,kind,alpha,bt_version,ckpt,budget,train_seed,opponent,seed,side,score,win,draw,loss,outcome,duration,damage_dealt,damage_taken,wez_time,surv_time,viol_deck,viol_over_g,viol_sep,mean_es
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10014,1,0.0,0,0,1,gun_kill,20.900000000000162,0.0,100.0,0.0,20.900000000000162,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10015,0,0.0,0,0,1,timeout,240.00000000002032,0.0,7.5,0.0,240.00000000002032,0.0,0.0,0.0,10893.738421882907
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10015,1,0.0,0,0,1,timeout,240.00000000002032,0.0,90.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10016,0,0.0,0,0,1,gun_kill,24.600000000000215,0.0,100.0,0.0,24.600000000000215,0.0,0.0,0.022540983606557378,6534.773846577711
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10016,1,0.5,0,1,0,collision,4.399999999999992,6.25,3.75,0.25,4.399999999999992,0.0,0.0,0.07142857142857142,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10017,0,0.0,0,0,1,crash,109.64999999999591,0.0,37.5,0.0,109.64999999999591,0.03604014598540146,0.0,0.0,9381.524200573405
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10017,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10018,0,0.0,0,0,1,gun_kill,17.450000000000113,0.0,100.0,0.0,17.450000000000113,0.0,0.0,0.0,6507.508615352276
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10018,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10019,0,0.0,0,0,1,timeout,240.00000000002032,0.0,56.25,0.0,240.00000000002032,0.0,0.0,0.0,13083.059754409942
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10019,1,0.0,0,0,1,timeout,240.00000000002032,0.0,43.75,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10020,0,0.5,0,1,0,collision,4.099999999999993,0.0,0.0,0.0,4.099999999999993,0.0,0.0,0.075,7337.72755427457
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10020,1,0.0,0,0,1,timeout,240.00000000002032,11.25,18.75,0.44999999999999996,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10021,0,0.0,0,0,1,timeout,240.00000000002032,0.0,6.25,0.0,240.00000000002032,0.0,0.0,0.0,13335.86356317958
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10021,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10022,0,0.0,0,0,1,timeout,240.00000000002032,0.0,23.75,0.0,240.00000000002032,0.0,0.0,0.0,13001.00691090965
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10022,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10023,0,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,14064.650119857028
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10023,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10024,0,0.0,0,0,1,timeout,240.00000000002032,0.0,71.25,0.0,240.00000000002032,0.0,0.0,0.0020833333333333333,12901.529125277379
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10024,1,0.5,0,1,0,timeout,240.00000000002032,0.0,0.0,0.0,240.00000000002032,0.0,0.0,0.0,
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10025,0,0.0,0,0,1,timeout,240.00000000002032,0.0,27.5,0.0,240.00000000002032,0.0,0.0,0.0,13954.75211363933
BT-v1,bt,0.0,1,,-1,-1,BT-v2,10025,1,0.0,0,0,1,timeout,240.00000000002032,0.0,13.75,0.0,240.00000000002032,0.0,0.0,0.0,
