cond,phase,item,situation,answer_bank,answer_g,raw_bank_deg,raw_load_cmd,row_index
RL-s1-b300-a1.00,시험,18,"상대 거리 436 m, 내 기수에서 좌 133° 위 13°, 애스펙트각 36° (0°=내가 상대 후방), 접근률 -228 m/s, 상대보다 -25 m, 내 고도 3994 m, 속도 159 m/s, 내 뱅크 -60°, HP 나 100 / 상대 100, 경과 28 s",좌,중간(3–6G),-59.57622699506597,0.9999650819806274,142
RL-s1-b300-a1.00,시험,19,"상대 거리 2078 m, 내 기수에서 좌 75° 아래 15°, 애스펙트각 77° (0°=내가 상대 후방), 접근률 -4 m/s, 상대보다 +304 m, 내 고도 4533 m, 속도 147 m/s, 내 뱅크 -85°, HP 나 100 / 상대 86, 경과 83 s",좌,중간(3–6G),-85.96911486782106,0.9999740827435044,29092
RL-s1-b300-a1.00,시험,20,"상대 거리 1628 m, 내 기수에서 좌 75° 아래 17°, 애스펙트각 128° (0°=내가 상대 후방), 접근률 +139 m/s, 상대보다 +467 m, 내 고도 4256 m, 속도 141 m/s, 내 뱅크 -87°, HP 나 100 / 상대 100, 경과 48 s",좌,중간(3–6G),-87.00277436660532,0.9999626963366176,27713
RL-s1-b300-a1.00,시험,21,"상대 거리 1229 m, 내 기수에서 우 102° 아래 10°, 애스펙트각 42° (0°=내가 상대 후방), 접근률 -144 m/s, 상대보다 +115 m, 내 고도 1737 m, 속도 147 m/s, 내 뱅크 +86°, HP 나 89 / 상대 64, 경과 107 s",우,중간(3–6G),87.05569647481369,0.9998554573054957,1134
RL-s1-b300-a1.00,시험,22,"상대 거리 1661 m, 내 기수에서 좌 112° 아래 10°, 애스펙트각 50° (0°=내가 상대 후방), 접근률 -164 m/s, 상대보다 +36 m, 내 고도 4130 m, 속도 152 m/s, 내 뱅크 -75°, HP 나 100 / 상대 100, 경과 42 s",좌,중간(3–6G),-76.10743878805832,0.999973177109882,22794
RL-s1-b300-a1.00,시험,23,"상대 거리 652 m, 내 기수에서 좌 140° 위 16°, 애스펙트각 31° (0°=내가 상대 후방), 접근률 -259 m/s, 상대보다 -88 m, 내 고도 3248 m, 속도 160 m/s, 내 뱅크 -55°, HP 나 98 / 상대 100, 경과 85 s",좌,중간(3–6G),-57.10661874233516,0.9999651203745161,24755
RL-s1-b300-a1.00,시험,24,"상대 거리 711 m, 내 기수에서 좌 56° 아래 13°, 애스펙트각 153° (0°=내가 상대 후방), 접근률 +236 m/s, 상대보다 +314 m, 내 고도 4145 m, 속도 154 m/s, 내 뱅크 -81°, HP 나 100 / 상대 100, 경과 30 s",좌,중간(3–6G),-81.37621637205119,0.999866323870248,27625
RL-s1-b300-a1.00,시험,25,"상대 거리 504 m, 내 기수에서 우 1° 위 1°, 애스펙트각 136° (0°=내가 상대 후방), 접근률 +290 m/s, 상대보다 +54 m, 내 고도 2571 m, 속도 163 m/s, 내 뱅크 +68°, HP 나 100 / 상대 49, 경과 63 s",우,높음(>6G),110.26084014177172,0.9995464112278116,22018
RL-s1-b300-a1.00,시험,26,"상대 거리 1666 m, 내 기수에서 좌 111° 아래 18°, 애스펙트각 112° (0°=내가 상대 후방), 접근률 +3 m/s, 상대보다 +357 m, 내 고도 5249 m, 속도 149 m/s, 내 뱅크 -77°, HP 나 100 / 상대 100, 경과 23 s",좌,중간(3–6G),-77.1163281117859,0.9999710739104741,17008
RL-s1-b300-a1.00,시험,27,"상대 거리 1424 m, 내 기수에서 우 57° 위 14°, 애스펙트각 92° (0°=내가 상대 후방), 접근률 +90 m/s, 상대보다 +180 m, 내 고도 1993 m, 속도 155 m/s, 내 뱅크 +94°, HP 나 100 / 상대 100, 경과 97 s",우,중간(3–6G),93.53711553806527,0.9996653497874912,5892
RL-s1-b300-a1.00,시험,28,"상대 거리 931 m, 내 기수에서 우 20° 위 19°, 애스펙트각 126° (0°=내가 상대 후방), 접근률 +237 m/s, 상대보다 +62 m, 내 고도 1792 m, 속도 161 m/s, 내 뱅크 +60°, HP 나 100 / 상대 100, 경과 100 s",우,높음(>6G),52.49849101032873,0.9991293488290363,5907
RL-s1-b300-a1.00,시험,29,"상대 거리 317 m, 내 기수에서 좌 46° 아래 11°, 애스펙트각 128° (0°=내가 상대 후방), 접근률 +215 m/s, 상대보다 +165 m, 내 고도 3392 m, 속도 155 m/s, 내 뱅크 -87°, HP 나 98 / 상대 100, 경과 82 s",좌,중간(3–6G),-87.88745295749514,0.999897123024467,24740
RL-s1-b300-a1.00,시험,30,"상대 거리 2205 m, 내 기수에서 좌 84° 아래 12°, 애스펙트각 74° (0°=내가 상대 후방), 접근률 -36 m/s, 상대보다 +231 m, 내 고도 4989 m, 속도 153 m/s, 내 뱅크 -81°, HP 나 100 / 상대 86, 경과 38 s",좌,중간(3–6G),-82.23141997897399,0.999973933710239,28865
RL-s1-b300-a1.00,시험,31,"상대 거리 641 m, 내 기수에서 좌 17° 아래 2°, 애스펙트각 138° (0°=내가 상대 후방), 접근률 +276 m/s, 상대보다 +258 m, 내 고도 3409 m, 속도 155 m/s, 내 뱅크 -84°, HP 나 100 / 상대 100, 경과 114 s",좌,중간(3–6G),-82.17052492789485,0.9998169156764781,18666
RL-s1-b300-a1.00,시험,32,"상대 거리 1115 m, 내 기수에서 좌 147° 아래 23°, 애스펙트각 102° (0°=내가 상대 후방), 접근률 -93 m/s, 상대보다 +246 m, 내 고도 5508 m, 속도 145 m/s, 내 뱅크 -74°, HP 나 100 / 상대 100, 경과 67 s",좌,중간(3–6G),-74.21721861902188,0.9999720286750806,17230
